Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5be185e36012df3551aaba944cfabf884c08ea28d5b807001111e1548afe1106,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
a138379a1c32d69ed39cb67cf74290476aa406099ef636dbd7926d32060ee23c,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
a138379a1c32d69ed39cb67cf74290476aa406099ef636dbd7926d32060ee23c,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
001efcb6e301eb09943f704b9e14cb3ea1cc9f8f796a1bffcc45e576d27a05d3,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
e8446514b4a5ee82cb5b7d57bc02bb9794da8eeb9f28bd3e8af3423985da284d,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
b9a5a2ad8818bd767977ca6483d9e5c11f7e54aad9519a1403064c7f6100aebe,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
b9a5a2ad8818bd767977ca6483d9e5c11f7e54aad9519a1403064c7f6100aebe,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
b9a5a2ad8818bd767977ca6483d9e5c11f7e54aad9519a1403064c7f6100aebe,2019-08,City of London Police,City of London Police,-0.078856,51.518433,On or near ARTILLERY LANE,E01032739,City of London 001F,Offender given a caution
81fbec26dc4a7972defac0d7f75f1b31001a395eb07721961d51da5c648552c4,2019-08,City of London Police,City of London Police,-0.097562,51.518864,On or near Parking Area,E01000001,City of London 001A,Suspect charged
3d87adb8bd521f06882a050330ca0f92cc9d1b32c289b7f35a686c4639a0bb3f,2019-08,City of London Police,City of London Police,-0.073849,51.514457,On or near Pedestrian Subway,E01032767,Tower Hamlets 021F,Suspect charged
0cfac4e7ae5c4285c97f1b66989517481d9f8bac7a7748d1ff197e2eeab93c6e,2019-08,City of London Police,City of London Police,-0.101395,51.510913,On or near BLACKFRIARS UNDERPASS,E01032739,City of London 001F,Local resolution
b86dfa292063eb835822548ae04e8cf5ba08c84806badb71e0f782d2a429a989,2019-08,City of London Police,City of London Police,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Suspect charged
49a800d6d4815153bfd30b24243db59dd61badc7cf37b68564b95b9632dd032a,2019-08,City of London Police,City of London Police,-0.089858,51.520744,On or near CHISWELL STREET,E01002704,Islington 023D,Suspect charged
a2b54dc79fa4c73cb9b314051b46afc8b32942270f042aa657cabce4776d228f,2019-08,City of London Police,City of London Police,-0.078749,51.520985,On or near NORTON FOLGATE,E01032739,City of London 001F,Suspect charged
b21e02d95084b10cbddb0f726e2c41720a82a0ff975c24709fbb462b0e2fb305,2019-08,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Suspect charged
4d63f1eda72041dc3643921c5af882ae06c79a9cf6c26239e88641acf2c73fd6,2019-08,City of London Police,City of London Police,-0.081549,51.511625,On or near MINCING LANE,E01032739,City of London 001F,Suspect charged
51453fa54ac926b8ffec2445ae6d1e2cee5ebb238bc963f17a424a3bf2fbe52e,2019-08,City of London Police,City of London Police,-0.095015,51.513220,On or near WATLING STREET,E01032739,City of London 001F,Suspect charged
c2a4b36af252d5fb7521725805c5d23b64be86a15d16258a6b66dcb3f707813d,2019-08,City of London Police,City of London Police,-0.095860,51.521660,On or near FANN STREET,E01000003,City of London 001C,Suspect charged
e24eccf4a0fb51aaf7037cf3b72f1b514cd72655a9d7cdfdd36f86b53e55c18e,2019-08,City of London Police,City of London Police,-0.109647,51.514887,On or near FETTER LANE,E01032740,City of London 001G,Suspect charged
e24eccf4a0fb51aaf7037cf3b72f1b514cd72655a9d7cdfdd36f86b53e55c18e,2019-08,City of London Police,City of London Police,-0.109647,51.514887,On or near FETTER LANE,E01032740,City of London 001G,Suspect charged
828a6eab178fc70e55b7172708f95926ac0e0fb85ae34b85e89080ec69dea524,2019-08,City of London Police,City of London Police,-0.108965,51.516386,On or near PLOUGH PLACE,E01032740,City of London 001G,Suspect charged
828a6eab178fc70e55b7172708f95926ac0e0fb85ae34b85e89080ec69dea524,2019-08,City of London Police,City of London Police,-0.108965,51.516386,On or near PLOUGH PLACE,E01032740,City of London 001G,Suspect charged
68b681659f132b0e78cd95f2a9addd6da8b2b24b8860ccbb56177fd4b304fa73,2019-08,City of London Police,City of London Police,-0.073849,51.514457,On or near Pedestrian Subway,E01032767,Tower Hamlets 021F,Suspect charged
9f886a957624164b2466e232d9336d32936ce2612531ccc5f33e9fcc5c662dce,2019-08,City of London Police,City of London Police,-0.085173,51.518680,On or near FINSBURY AVENUE,E01032739,City of London 001F,Suspect charged
637a9729538fa3ac20611caaabc2b1edfef455be2f6226b160f9eaee81923404,2019-08,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
6b020ee613deec4720f7387507be7fc6e2f63056422760a3deba88f34cc62b1d,2019-08,City of London Police,City of London Police,-0.090506,51.513524,On or near POULTRY,E01032739,City of London 001F,Suspect charged
32f5e604fa116185140557f05e9b3f378922ec92fe0114f31bf245cef50dbc64,2019-08,City of London Police,City of London Police,-0.107382,51.522233,On or near CLERKENWELL ROAD,E01002724,Islington 022D,Suspect charged
